Wavelength(nm)	n	k
206.63	1.46	1.71
210.14	1.46	1.72
213.76	1.47	1.72
217.51	1.47	1.72
221.39	1.45	1.73
225.42	1.43	1.74
229.59	1.41	1.76
233.92	1.39	1.78
238.42	1.37	1.81
243.1	1.36	1.85
247.96	1.36	1.9
253.02	1.37	1.95
258.29	1.38	2
263.79	1.38	2.05
269.52	1.39	2.09
275.51	1.43	2.14
281.77	1.44	2.19
288.33	1.46	2.24
295.19	1.5	2.3
302.39	1.54	2.35
309.95	1.58	2.4
317.9	1.63	2.45
326.26	1.67	2.5
335.08	1.71	2.55
344.39	1.77	2.59
354.23	1.84	2.64
364.65	1.86	2.68
375.7	1.9	2.72
387.44	1.95	2.77
399.94	2.01	2.85
413.27	2.08	2.93
427.52	2.17	3.02
442.79	2.27	3.1
459.19	2.4	3.18
476.85	2.56	3.26
495.92	2.75	3.3
516.58	2.91	3.33
539.04	3.11	3.33
563.55	3.22	3.32
590.38	3.21	3.3
619.9	3.16	3.3
652.53	3.1	3.33
688.78	3.06	3.37
729.29	3.06	3.4
774.88	3.11	3.44
826.53	3.21	3.48
885.57	3.29	3.52
953.69	3.37	3.56
1033.17	3.5	3.58
1127.09	3.62	3.58
1239.8	3.68	3.62
