lambda	n	k
1.240E-4	0.9990	1.29E-6
1.550E-4	1.000	2.92E-6
2.066E-4	1.002	8.36E-6
2.480E-4	1.001	1.52E-5
2.755E-4	1.001	2.21E-5
3.099E-4	1.003	3.57E-5
3.444E-4	1.003	3.24E-5
3.542E-4	1.003	1.72E-5
4.133E-4	1.001	1.43E-5
4.959E-4	1.001	2.40E-5
6.199E-4	1.001	4.72E-5
8.265E-4	0.999	1.21E-4
12.40E-4	0.998	5.23E-4
15.50E-4	0.997	1.08E-3
16.75E-4	0.998	1.42E-3
20.66E-4	0.997	2.69E-3
24.80E-4	0.997	4.57E-3
30.99E-4	0.998	8.82E-3
33.51E-4	1.007	8.23E-3
35.42E-4	1.001	1.68E-3
41.33E-4	0.996	2.32E-3
44.28E-4	0.994	2.70E-3
47.68E-4	0.992	3.11E-3
51.66E-4	0.989	3.50E-3
56.35E-4	0.987	3.45E-3
61.99E-4	0.982	3.77E-3
68.88E-4	0.978	4.31E-3
72.93E-4	0.973	4.42E-3
77.49E-4	0.968	4.38E-3
82.65E-4	0.963	4.07E-3
88.56E-4	0.955	3.54E-3
95.37E-4	0.943	3.66E-3
103.3E-4	0.926	6.22E-3
112.7E-4	0.902	1.72E-2
118.1E-4	0.890	2.61E-2
124.0E-4	0.876	3.82E-2
130.5E-4	0.861	5.65E-2
137.8E-4	0.849	8.24E-2
145.9E-4	0.846	0.111
155.0E-4	0.848	0.139
158.9E-4	0.851	0.149
163.1E-4	0.853	0.158
167.5E-4	0.853	0.166
172.2E-4	0.851	0.181
177.1E-4	0.859	0.197
182.3E-4	0.871	0.208
187.8E-4	0.883	0.211
193.7E-4	0.885	0.210
200.0E-4	0.881	0.211
206.6E-4	0.873	0.221
213.8E-4	0.868	0.237
221.4E-4	0.871	0.259
229.6E-4	0.885	0.274
233.9E-4	0.890	0.275
238.4E-4	0.889	0.276
243.1E-4	0.886	0.281
248.0E-4	0.884	0.290
253.0E-4	0.885	0.200
258.3E-4	0.888	0.309
263.8E-4	0.893	0.317
269.5E-4	0.896	0.323
281.8E-4	0.899	0.334
295.2E-4	0.897	0.349
309.9E-4	0.896	0.368
317.9E-4	0.895	0.378
326.3E-4	0.892	0.388
335.1E-4	0.885	0.400
344.4E-4	0.876	0.418
354.2E-4	0.865	0.454
364.6E-4	0.879	0.489
375.7E-4	0.899	0.514
387.4E-4	0.921	0.528
399.9E-4	0.932	0.534
413.2E-4	0.931	0.541
427.5E-4	0.919	0.557
435.0E-4	0.911	0.572
442.8E-4	0.902	0.590
450.8E-4	0.851	0.616
459.2E-4	0.886	0.650
459.2E-4	0.882	0.399
467.9E-4	0.886	0.421
476.9E-4	0.887	0.444
486.2E-4	0.891	0.468
506.1E-4	0.906	0.522
527.6E-4	0.943	0.584
539.1E-4	0.980	0.614
551.0E-4	1.029	0.624
563.6E-4	1.075	0.615
576.7E-4	1.104	0.584
590.4E-4	1.109	0.561
604.8E-4	1.105	0.549
619.9E-4	1.098	0.548
652.6E-4	1.096	0.565
688.8E-4	1.101	0.593
729.3E-4	1.121	0.635
774.9E-4	1.167	0.676
799.9E-4	1.202	0.691
826.6E-4	1.243	0.693
855.1E-4	1.281	0.679
885.6E-4	1.308	0.656
918.4E-4	1.322	0.628
953.7E-4	1.322	0.603
991.9E-4	1.315	0.588
0.1025	1.308	0.581
0.1051	1.304	0.578
0.1078	1.300	0.573
0.1107	1.293	0.566
0.1137	1.280	0.560
0.1170	1.265	0.560
0.1204	1.252	0.564
0.1240	1.241	0.568
0.1278	1.229	0.566
0.1348	1.182	0.550
0.1378	1.149	0.552
0.1409	1.112	0.563
0.1442	1.073	0.581
0.1476	1.032	0.610
0.1512	0.993	0.653
0.1550	0.962	0.706
0.1590	0.940	0.770
0.1631	0.935	0.832
0.1675	0.936	0.892
0.1722	0.942	0.951
0.1771	0.953	1.01
0.1823	0.969	1.07
0.1879	0.995	1.13
0.1937	1.028	1.18
0.1968	1.048	1.21
0.2000	1.072	1.24
0.2033	1.098	1.26
0.2066	1.125	1.27
0.2138	1.173	1.29
0.2214	1.208	1.30
0.2296	1.238	1.31
0.2384	1.265	1.33
0.2480	1.298	1.35
0.2530	1.320	1.35
0.2583	1.343	1.35
0.2638	1.372	1.35
0.2695	1.404	1.33
0.2755	1.441	1.31
0.2818	1.476	1.26
0.2883	1.502	1.19
0.2952	1.519	1.08
0.2988	1.522	0.992
0.3024	1.496	0.882
0.3061	1.432	0.766
0.3100	1.323	0.647
0.3115	1.246	0.586
0.3139	1.149	0.540
0.3155	1.044	0.514
0.3179	0.932	0.504
0.3195	0.815	0.526
0.3220	0.708	0.565
0.3237	0.616	0.609
0.3263	0.526	0.663
0.3306	0.371	0.813
0.3324	0.321	0.902
0.3351	0.294	0.986
0.3397	0.259	1.12
0.3444	0.238	1.24
0.3542	0.209	1.44
0.3647	0.186	1.61
0.3757	0.200	1.67
0.3875	0.192	1.81
0.4000	0.173	1.95
0.4133	0.173	2.11
0.4275	0.160	2.26
0.4428	0.157	2.40
0.4592	0.144	2.56
0.4769	0.132	2.72
0.4959	0.130	2.88
0.5166	0.130	3.07
0.5391	0.129	3.25
0.5636	0.120	3.45
0.5904	0.121	3.66
0.6199	0.131	3.88
0.6526	0.140	4.15
0.6888	0.140	4.44
0.7293	0.148	4.74
0.7749	0.143	5.09
0.8266	0.145	5.50
0.8856	0.163	5.95
0.9537	0.198	6.43
1.033	0.226	6.99
1.127	0.251	7.67
1.240	0.329	8.49
1.265	0.375	7.78
1.291	0.383	7.92
1.305	0.358	8.95
1.319	0.392	8.06
1.348	0.401	8.21
1.378	0.411	8.37
1.3780	0.396	9.48
1.409	0.421	8.37
1.442	0.431	8.70
1.459	0.446	10.1
1.476	0.442	8.88
1.512	0.455	9.08
1.550	0.469	9.32
1.5500	0.514	10.8
1.590	0.485	9.57
1.631	0.501	9.84
1.653	0.624	11.5
1.675	0.519	10.1
1.722	0.537	10.4
1.771	0.557	10.7
1.7710	0.844	12.2
1.823	0.578	11.1
1.879	0.600	11.4
1.907	0.873	13.3
1.937	0.624	11.8
2.000	0.650	12.2
2.066	0.668	12.6
2.0660	1.064	14.4
2.138	0.729	13.0
2.214	0.774	13.5
2.296	0.823	14.0
2.384	0.878	14.5
2.480	0.939	15.1
2.583	1.007	15.7
2.695	1.083	16.4
2.818	1.168	17.1
2.952	1.265	17.9
3.100	1.387	18.8
3.263	1.536	19.8
3.444	1.710	20.9
3.647	1.915	22.1
3.875	2.160	23.5
4.133	2.446	25.1
4.428	2.786	26.9
4.769	3.202	29.0
5.166	3.732	31.3
5.636	4.425	34.0
6.199	5.355	37.0
6.526	5.960	38.6
6.888	6.670	40.4
7.293	7.461	42.5
7.749	8.376	44.8
8.266	9.441	47.1
8.856	10.69	49.4
9.537	12.21	52.2
9.919	13.11	53.7
